Município;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
351440 DRACENA;6712;6867;7030;7197;7370;7551;7744;7955;8158;8381;8608;8851;9097;9331;9518;9699;9918;10160;10406
351450 DUARTINA;1955;1983;2014;2056;2097;2147;2201;2259;2325;2391;2456;2523;2599;2664;2715;2768;2833;2906;2985
351460 DUMONT;718;745;775;810;846;880;922;965;1010;1053;1106;1153;1209;1262;1301;1345;1398;1457;1500
351470 ECHAPORA;908;928;952;971;991;1008;1027;1041;1061;1081;1102;1126;1151;1173;1191;1209;1234;1266;1305
351480 ELDORADO;1661;1708;1761;1807;1845;1883;1916;1953;1985;2020;2057;2087;2122;2153;2176;2195;2236;2283;2342
351490 ELIAS FAUSTO;1440;1486;1540;1599;1658;1724;1795;1874;1950;2030;2124;2222;2323;2431;2526;2624;2740;2853;2962
351492 ELISIARIO;406;420;431;440;459;471;483;497;509;523;535;548;561;569;577;588;597;624;637
351495 EMBAUBA;335;346;350;359;371;377;391;401;412;427;442;455;471;484;496;509;520;548;564
351500 EMBU DAS ARTES;13595;14537;15547;16589;17640;18714;19817;20958;22155;23399;24655;25904;27146;28352;29443;30543;31775;33069;34473
351510 EMBU-GUACU;5324;5552;5797;6043;6305;6573;6852;7145;7450;7770;8103;8444;8800;9144;9453;9758;10102;10471;10842
351512 EMILIANOPOLIS;461;474;493;506;519;528;545;557;575;591;611;624;648;667;684;701;721;747;771
351515 ENGENHEIRO COELHO;991;1047;1108;1170;1227;1288;1349;1418;1495;1577;1664;1760;1862;1961;2064;2166;2283;2404;2508
351518 ESPIRITO SANTO DO PINHAL;5695;5837;5982;6129;6285;6444;6602;6772;6938;7111;7293;7488;7687;7867;8009;8150;8345;8562;8822
351519 ESPIRITO SANTO DO TURVO;344;360;373;389;408;423;438;455;466;483;500;515;528;549;554;580;586;608;633
351520 ESTRELA D'OESTE;1184;1215;1245;1275;1320;1354;1395;1436;1480;1533;1581;1631;1680;1728;1775;1817;1876;1939;2003
351530 ESTRELA DO NORTE;311;316;320;323;330;338;351;362;372;382;398;418;440;462;476;497;516;550;571
351535 EUCLIDES DA CUNHA PAULISTA;1063;1083;1109;1133;1155;1181;1208;1233;1257;1289;1316;1350;1376;1410;1432;1453;1497;1544;1605
351540 FARTURA;2066;2121;2182;2237;2297;2373;2452;2536;2621;2711;2810;2911;3023;3131;3218;3307;3403;3497;3586
351550 FERNANDOPOLIS;9470;9748;10048;10343;10645;10958;11294;11646;12012;12385;12764;13161;13558;13927;14231;14523;14882;15280;15640
351560 FERNANDO PRESTES;977;1000;1025;1049;1071;1088;1112;1127;1145;1163;1182;1206;1233;1252;1260;1282;1299;1327;1353
351565 FERNAO;232;239;245;255;263;265;271;273;281;289;296;308;312;323;333;332;332;347;341
351570 FERRAZ DE VASCONCELOS;10007;10582;11198;11860;12569;13313;14094;14911;15766;16656;17582;18526;19496;20441;21315;22214;23220;24276;25437
351580 FLORA RICA;359;356;363;365;370;368;370;372;371;375;380;383;392;399;402;405;405;419;442
351590 FLOREAL;608;619;629;642;653;670;685;699;712;733;750;764;784;796;808;825;834;849;872
351600 FLORIDA PAULISTA;1686;1715;1750;1782;1820;1858;1893;1940;1984;2037;2089;2150;2217;2279;2338;2392;2458;2522;2598
351610 FLORINEA;382;394;411;424;439;450;461;469;479;489;502;516;535;548;560;577;583;608;619
351620 FRANCA;32070;33426;34833;36302;37830;39421;41099;42855;44690;46603;48588;50637;52734;54767;56554;58352;60434;62611;64725
351630 FRANCISCO MORATO;8134;8662;9242;9859;10526;11231;11977;12749;13563;14417;15301;16190;17088;17972;18761;19553;20393;21266;22116
351640 FRANCO DA ROCHA;8564;9034;9522;10060;10637;11251;11867;12498;13160;13837;14529;15209;15887;16529;17091;17653;18288;18982;19628
351650 GABRIEL MONTEIRO;442;453;462;474;488;498;509;525;542;558;574;586;596;610;622;634;643;658;683
351660 GALIA;1102;1123;1142;1162;1185;1216;1241;1267;1295;1325;1355;1382;1412;1435;1447;1463;1482;1508;1545
351670 GARCA;6003;6117;6234;6367;6526;6699;6883;7068;7249;7435;7635;7835;8042;8224;8358;8493;8665;8866;9095
351680 GASTAO VIDIGAL;517;529;543;561;578;593;605;620;636;648;664;671;683;700;705;720;728;748;771
351685 GAVIAO PEIXOTO;427;439;446;459;473;486;498;520;535;547;572;595;621;646;666;691;717;743;777
351690 GENERAL SALGADO;1522;1565;1605;1651;1702;1751;1807;1865;1924;1984;2047;2108;2174;2237;2292;2342;2407;2475;2557
351700 GETULINA;1397;1419;1439;1463;1487;1521;1553;1587;1620;1659;1699;1739;1787;1829;1861;1892;1930;1982;2029
351710 GLICERIO;598;611;620;640;654;677;698;721;743;770;792;822;845;872;886;904;926;951;972
351720 GUAICARA;1101;1135;1179;1215;1256;1293;1340;1384;1431;1474;1522;1575;1627;1684;1728;1776;1834;1896;1963
351730 GUAIMBE;705;722;743;759;776;796;818;843;873;894;926;952;988;1023;1048;1072;1102;1136;1165
351740 GUAIRA;4092;4244;4405;4570;4740;4920;5094;5272;5459;5641;5833;6037;6237;6436;6603;6782;6993;7221;7461
351750 GUAPIACU;1945;2036;2136;2235;2327;2410;2498;2591;2677;2783;2878;2984;3092;3190;3281;3368;3475;3586;3672
351760 GUAPIARA;2076;2136;2196;2257;2315;2367;2417;2474;2530;2587;2653;2734;2811;2890;2956;3022;3119;3218;3330
351770 GUARA;1981;2041;2105;2172;2254;2338;2417;2499;2582;2667;2752;2841;2923;2997;3062;3125;3204;3291;3403
351780 GUARACAI;1366;1390;1422;1454;1489;1522;1555;1592;1632;1672;1715;1747;1789;1823;1849;1868;1904;1939;1992
351790 GUARACI;1174;1209;1240;1275;1322;1361;1411;1458;1507;1568;1621;1689;1751;1815;1868;1922;1985;2043;2106
351800 GUARANI D'OESTE;329;331;332;335;342;346;354;362;371;383;392;404;415;431;441;452;454;480;496
351810 GUARANTA;691;712;737;762;780;816;846;881;916;953;985;1021;1048;1086;1109;1136;1162;1190;1218
351820 GUARARAPES;4182;4288;4404;4527;4641;4762;4892;5026;5169;5311;5467;5630;5792;5957;6094;6234;6411;6594;6806
351830 GUARAREMA;2575;2701;2828;2970;3118;3282;3448;3635;3829;4034;4244;4465;4693;4924;5134;5345;5580;5834;6046
351840 GUARATINGUETA;13068;13550;14049;14561;15089;15640;16210;16808;17424;18066;18732;19427;20144;20835;21430;22020;22706;23418;24171
351850 GUAREI;1289;1329;1373;1416;1469;1527;1586;1650;1718;1791;1860;1936;2011;2083;2150;2207;2287;2367;2450
351860 GUARIBA;2980;3069;3177;3281;3401;3531;3666;3815;3966;4134;4310;4501;4706;4901;5085;5268;5490;5713;5943
351870 GUARUJA;23705;24734;25826;26919;28018;29124;30274;31462;32688;33968;35300;36692;38118;39488;40690;41929;43392;44927;46687
351880 GUARULHOS;87616;92087;96836;101788;106940;112291;117871;123684;129733;136024;142539;149208;155988;162582;168493;174493;181350;188595;196321
351885 GUATAPARA;702;732;763;795;831;870;907;950;1000;1039;1090;1132;1182;1227;1266;1300;1346;1397;1436
